,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE","IF Catarinense","Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",SC,16,"0,9909670352935791","3,133114763076931","0,009032943286001682",4,0,0,"3,1409452211448974",4,
2016,5077,"UNIVERSIDADE ESTADUAL DE RORAIMA",UERR,Universidade,"Pessoa Jurídica de Direito Público - Estadual",RR,19,"0,965272068977356","2,0435250080023706","0,03472791984677315",4,0,0,"2,1114692918685085",3,
2016,5242,"UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL",UNEAL,Universidade,"Pessoa Jurídica de Direito Público - Estadual",AL,25,"0,9979757070541382","2,0737738651320603","0,0020242915488779545",4,0,0,"2,0776731055210726",3,
2016,5322,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA",UNIPAMPA,Universidade,"Pessoa Jurídica de Direito Público - Federal",RS,35,"0,9215402603149414","3,1354744711248705","0,06427330523729324","4,05919395465995","0,014186450280249119","4,5","3,214202798657622",4,
2016,5701,"UNIVERSIDADE DO ESTADO DO AMAPÁ",UEAP,Universidade,"Pessoa Jurídica de Direito Público - Estadual",AP,8,1,"2,283096816381141",0,0,0,0,"2,283096816381141",3,
2016,14408,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",IFB,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",DF,1,1,"3,336500254668775",0,0,0,0,"3,336500254668775",4,
2016,14509,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IFBAIANO,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",BA,9,"0,9777777791023254","2,989588094197405","0,02222222276031971",4,0,0,"3,012041698216371",4,
2016,14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",PR,17,1,"2,475076325957681",0,0,0,0,"2,475076325957681",3,
2016,15001,"UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA",UNILA,Universidade,"Pessoa Jurídica de Direito Público - Federal",PR,4,"0,7653061151504517","2,645415444359322","0,23469388484954834",4,0,0,"2,963328156079832",4,
2016,15015,"Universidade Estadual do Norte do Paraná",UENP,Universidade,"Pessoa Jurídica de Direito Público - Estadual",PR,26,"0,9466361999511719","2,7821535835347864","0,05128737539052963","4,253048780487805","0,0020764118526130915","4,5","2,8611588586937766",3,
2016,15032,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE",UNIARP,Universidade,"Privada sem fins lucrativos",SC,26,"0,9790419340133667","2,4830913054002073","0,020958084613084793",4,0,0,"2,5148828524231335",3,
2016,15059,"UNIVERSIDADE FEDERAL DO OESTE DO PARÁ",UFOPA,Universidade,"Pessoa Jurídica de Direito Público - Federal",PA,14,"0,8406935930252075","2,267290612983003","0,12137632071971893","4,174698795180723","0,03793010115623474","4,5","2,583491726936142",3,
2016,15121,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL",UFFS,Universidade,"Pessoa Jurídica de Direito Público - Federal",SC,35,"0,9391188025474548","3,431616899302462","0,06088121607899666","4,042440318302387",0,0,"3,4688046357795534",4,
2016,15497,"UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA",UNILAB,Universidade,"Pessoa Jurídica de Direito Público - Federal",CE,3,"0,9388609528541565","3,339728145850205","0,061139028519392014",4,0,0,"3,3800964633643367",4,
2016,15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",AC,5,1,"2,0761643191991372",0,0,0,0,"2,0761643191991372",3,
2016,15520,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",IFMS,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MS,4,1,"3,09690649070486",0,0,0,0,"3,09690649070486",4,
2016,15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",AP,3,1,"2,1180296634890237",0,0,0,0,"2,1180296634890237",3,
2016,18440,"UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ",UNIFESSPA,Universidade,"Pessoa Jurídica de Direito Público - Federal",PA,11,"0,9338810443878174","2,149937230321065","0,06611893326044083","4,282407407407407",0,0,"2,2909338355848754",3,
2016,18492,"Universidade Estadual do Paraná",UNESPAR,Universidade,"Pessoa Jurídica de Direito Público - Estadual",PR,48,"0,9892099499702454","2,6070711783909344","0,010790028609335423","4,08",0,0,"2,6229640666710536",3,
2016,18506,"UNIVERSIDADE FEDERAL DO OESTE DA BAHIA",UFOB,Universidade,"Pessoa Jurídica de Direito Público - Federal",BA,8,"0,9094650149345398","2,9798048873653435","0,09053497761487961",4,0,0,"3,072168206849255",4,
2016,18759,"UNIVERSIDADE FEDERAL DO CARIRI",UFCA,Universidade,"Pessoa Jurídica de Direito Público - Federal",CE,10,"0,9250734448432922","2,4513534801292134","0,07492654025554657","4,257425742574258",0,0,"2,5866761896777146",3,
